"1","Volunteering","time","5"
"2","Personal","time","-5"
"3","Taking Class","time","0"
"4","Staff","time","5"
"5","Ride","time","5"
"6","Donation","provisional","0.0"
"7","Bicycle Entered","provisional","0.0"
"99","Give Camp Test","provisional","0.0"
"1001","Purchase","provisional","1"
"1002","Credits Added","provisional","0"
"1003","Membership Renewal",NULL,"0"
"1004","Volunteer Time Addition",NULL,"0"
"1005","Bike Credit","provisional","0"
"2001","Comment","provisional","0"
"3001","Task Check-out",NULL,"0"
"4001","Class Completed","provisional","0"
"4002","Teaching A Class",NULL,"0"
